title,url,date
DRAFT BILL FOR THE MODERNISATION OF ARBITRATION LAW,www.advant-beiten.com/files/DRAFT BILL FOR THE MODERNISATION OF ARBITRATION LAW.html,2024-02-01
"Once in the commercial register, always in the commercial register?","www.advant-beiten.com/files/Once in the commercial register, always in the commercial register?.html",2024-01-25
Recent and Future Developments in Arbitration,www.advant-beiten.com/files/Recent and Future Developments in Arbitration.html,2024-01-15
The AI Act - The Agreement and What It Means,www.advant-beiten.com/files/The AI Act - The Agreement and What It Means.html,2024-01-09
The Year of the DSA – Twelve quick bites of wisdom on the EU’s Digital Services Act,www.advant-beiten.com/files/The Year of the DSA – Twelve quick bites of wisdom on the EU’s Digital Services Act.html,2024-01-03
European Supply Chain Act close to finalization,www.advant-beiten.com/files/European Supply Chain Act close to finalization.html,2023-12-14
Corporate transactions – Why you need to take increased caution in transactions involving medical devices,www.advant-beiten.com/files/Corporate transactions – Why you need to take increased caution in transactions involving medical devices.html,2023-12-07
Control of subsidies: Challenges for companies in the EU Internal Market,www.advant-beiten.com/files/Control of subsidies: Challenges for companies in the EU Internal Market.html,2023-11-21
"EU Data Act: Action required for Connected Products, Related Services and Cloud Computing","www.advant-beiten.com/files/EU Data Act: Action required for Connected Products, Related Services and Cloud Computing.html",2023-11-10
It is high time to prepare for the European CO₂ Border Adjustment Mechanism (CBAM),www.advant-beiten.com/files/It is high time to prepare for the European CO₂ Border Adjustment Mechanism (CBAM).html,2023-11-06
Placing information in a virtual data room - BGH concretizes obliga-tions to disclose information for sellers in the context of a buyer's due diligence,www.advant-beiten.com/files/Placing information in a virtual data room - BGH concretizes obliga-tions to disclose information for sellers in the context of a buyer's due diligence.html,2023-10-31
Guidelines for the Effective Agreement of Non-Compete Clauses,www.advant-beiten.com/files/Guidelines for the Effective Agreement of Non-Compete Clauses.html,2023-10-23
20th Amendment to the Foreign Trade and payments Regulation: What’s New?,www.advant-beiten.com/files/20th Amendment to the Foreign Trade and payments Regulation: What’s New?.html,2023-10-17
Verbandsklagenricht-linienumsetzungsgesetz enters into force,www.advant-beiten.com/files/Verbandsklagenricht-linienumsetzungsgesetz enters into force.html,2023-10-12
Cabling of Solar and Wind Parks – Groundbreaking new draft legislation to expedite grid connection!,www.advant-beiten.com/files/Cabling of Solar and Wind Parks – Groundbreaking new draft legislation to expedite grid connection!.html,2023-08-29
Interim relief from an incorrect list of shareholders after a resolution,www.advant-beiten.com/files/Interim relief from an incorrect list of shareholders after a resolution.html,2023-08-21
Federal Government of Germany approved on the establishment of Commercial Courts,www.advant-beiten.com/files/Federal Government of Germany approved on the establishment of Commercial Courts.html,2023-08-18
Liability of board members and managing directors for antitrust infringements –NO recourse for fines but possible recourse for cartel damages claims,www.advant-beiten.com/files/Liability of board members and managing directors for antitrust infringements –NO recourse for fines but possible recourse for cartel damages claims.html,2023-08-09
Dismissal of a supervisory board member for serious grounds related to conduct,www.advant-beiten.com/files/Dismissal of a supervisory board member for serious grounds related to conduct.html,2023-08-08
